Rank,Player,Apps,Span[a],Teams[b],Apps,,,,,,,,,,,,,,,,,
37,Ian Callaghan,"1,017+",1960?1982,Liverpool,870,,,,,,,,,,,,,,,,,
,Ian Callaghan,,,Fort Lauderdale Strikers,20,,,,,,,,,,,,,,,,,
,Ian Callaghan,,,Swansea City,91,,,,,,,,,,,,,,,,,
,Ian Callaghan,,,Canberra City,9+,,,,,,,,,,,,,,,,,
,Ian Callaghan,,,Cork United,2+,,,,,,,,,,,,,,,,,
,Ian Callaghan,,,Crewe Alexandra,17,,,,,,,,,,,,,,,,,
38,Clarence Seedorf,"1,017",1992?2013,Ajax,90,,,,,,,,,,,,,,,,,
,Clarence Seedorf,,,Sampdoria,34,,,,,,,,,,,,,,,,,
,Clarence Seedorf,,,Real Madrid,159,,,,,,,,,,,,,,,,,
,Clarence Seedorf,,,Inter Milan,93,,,,,,,,,,,,,,,,,
,Clarence Seedorf,,,Milan,432,,,,,,,,,,,,,,,,,
,Clarence Seedorf,,,Botafogo,81,,,,,,,,,,,,,,,,,
39,Jo?o Moutinho,"1,012+",2002?,Sporting CP,30,,,,,,,,,,,,,,,,,
,Jo?o Moutinho,,,Porto,140,,,,,,,,,,,,,,,,,
,Jo?o Moutinho,,,Monaco,219,,,,,,,,,,,,,,,,,
,Jo?o Moutinho,,,Wolverhampton Wanderers,176,,,,,,,,,,,,,,,,,
40,Ronnie Rooke,"1,012",1929?1961,Stoke City,26,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Guildford City,60,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Woking,25,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Crystal Palace,191,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Fulham,330,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Blackburn Rovers,2,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Chelsea,1,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Arsenal,99,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Bedford Town,167,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Haywards Heath Town,76,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Addlestone,23,,,,,,,,,,,,,,,,,
,Ronnie Rooke,,,Vickers,12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
